"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4971","get started link","WebKit","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
"","2286","has title","Firefox","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
"","1014","get started link","Chromium","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
"","93","Validate GET users API","WebKit","2026-07-29","passed","2026-07-29","API Tests - ReqRes","api.spec.ts","",""
"","97","Validate GET users API","Firefox","2026-07-29","passed","2026-07-29","API Tests - ReqRes","api.spec.ts","",""
"","1150","has title","Chromium","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
"","1679","User can login successfully","WebKit","2026-07-29","passed","2026-07-29","Login Feature","login.spec.ts","",""
"","305","Validate GET users API","Chromium","2026-07-29","passed","2026-07-29","API Tests - ReqRes","api.spec.ts","",""
"","2725","get started link","Firefox","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
"","695","User can login successfully","Chromium","2026-07-29","passed","2026-07-29","Login Feature","login.spec.ts","",""
"","1022","User can login successfully","Firefox","2026-07-29","passed","2026-07-29","Login Feature","login.spec.ts","",""
"","3888","has title","WebKit","2026-07-29","passed","2026-07-29","","example.spec.ts","",""
