"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2501","get started link","Firefox","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","1635","User can login successfully","WebKit","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","5947","has title","WebKit","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","830","User can login successfully","Chromium","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","7198","get started link","WebKit","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","106","Validate GET users API","WebKit","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
"","958","User can login successfully","Firefox","2026-06-21","passed","2026-06-21","Login Feature","login.spec.ts","",""
"","114","Validate GET users API","Firefox","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
"","2144","has title","Firefox","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","840","get started link","Chromium","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
"","447","Validate GET users API","Chromium","2026-06-21","passed","2026-06-21","API Tests - ReqRes","api.spec.ts","",""
"","756","has title","Chromium","2026-06-21","passed","2026-06-21","","example.spec.ts","",""
