"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","971","User can login successfully","Firefox","2026-09-10","passed","2026-09-10","Login Feature","login.spec.ts","",""
"","92","Validate GET users API","WebKit","2026-09-10","passed","2026-09-10","API Tests - ReqRes","api.spec.ts","",""
"","317","Validate GET users API","Chromium","2026-09-10","passed","2026-09-10","API Tests - ReqRes","api.spec.ts","",""
"","970","has title","Chromium","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","5621","has title","WebKit","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","2738","get started link","Firefox","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","989","get started link","Chromium","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","2137","has title","Firefox","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","6658","get started link","WebKit","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","97","Validate GET users API","Firefox","2026-09-10","passed","2026-09-10","API Tests - ReqRes","api.spec.ts","",""
"","682","User can login successfully","Chromium","2026-09-10","passed","2026-09-10","Login Feature","login.spec.ts","",""
"","1625","User can login successfully","WebKit","2026-09-10","passed","2026-09-10","Login Feature","login.spec.ts","",""
