"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6522","has title","WebKit","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","1704","User can login successfully","Chromium","2026-06-22","passed","2026-06-22","Login Feature","login.spec.ts","",""
"","7865","get started link","WebKit","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","439","Validate GET users API","Chromium","2026-06-22","passed","2026-06-22","API Tests - ReqRes","api.spec.ts","",""
"","1785","User can login successfully","WebKit","2026-06-22","passed","2026-06-22","Login Feature","login.spec.ts","",""
"","1762","has title","Firefox","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","111","Validate GET users API","WebKit","2026-06-22","passed","2026-06-22","API Tests - ReqRes","api.spec.ts","",""
"","2522","get started link","Firefox","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","1261","User can login successfully","Firefox","2026-06-22","passed","2026-06-22","Login Feature","login.spec.ts","",""
"","928","has title","Chromium","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","1000","get started link","Chromium","2026-06-22","passed","2026-06-22","","example.spec.ts","",""
"","154","Validate GET users API","Firefox","2026-06-22","passed","2026-06-22","API Tests - ReqRes","api.spec.ts","",""
