"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2843","get started link","Firefox","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","411","Validate GET users API","Chromium","2026-07-31","passed","2026-07-31","API Tests - ReqRes","api.spec.ts","",""
"","924","has title","Chromium","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","6541","has title","WebKit","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","84","Validate GET users API","WebKit","2026-07-31","passed","2026-07-31","API Tests - ReqRes","api.spec.ts","",""
"","1092","get started link","Chromium","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","962","User can login successfully","Firefox","2026-07-31","passed","2026-07-31","Login Feature","login.spec.ts","",""
"","7757","get started link","WebKit","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","85","Validate GET users API","Firefox","2026-07-31","passed","2026-07-31","API Tests - ReqRes","api.spec.ts","",""
"","2443","has title","Firefox","2026-07-31","passed","2026-07-31","","example.spec.ts","",""
"","772","User can login successfully","Chromium","2026-07-31","passed","2026-07-31","Login Feature","login.spec.ts","",""
"","1807","User can login successfully","WebKit","2026-07-31","passed","2026-07-31","Login Feature","login.spec.ts","",""
