"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1226","has title","WebKit","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
"","1116","User can login successfully","WebKit","2026-08-19","passed","2026-08-19","Login Feature","login.spec.ts","",""
"","2427","get started link","WebKit","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
"","366","Validate GET users API","Chromium","2026-08-19","passed","2026-08-19","API Tests - ReqRes","api.spec.ts","",""
"","109","Validate GET users API","Firefox","2026-08-19","passed","2026-08-19","API Tests - ReqRes","api.spec.ts","",""
"","660","User can login successfully","Chromium","2026-08-19","passed","2026-08-19","Login Feature","login.spec.ts","",""
"","1942","get started link","Firefox","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
"","106","Validate GET users API","WebKit","2026-08-19","passed","2026-08-19","API Tests - ReqRes","api.spec.ts","",""
"","807","get started link","Chromium","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
"","871","User can login successfully","Firefox","2026-08-19","passed","2026-08-19","Login Feature","login.spec.ts","",""
"","647","has title","Chromium","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
"","1514","has title","Firefox","2026-08-19","passed","2026-08-19","","example.spec.ts","",""
