"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","110","Validate GET users API","Firefox","2026-07-17","passed","2026-07-17","API Tests - ReqRes","api.spec.ts","",""
"","91","Validate GET users API","WebKit","2026-07-17","passed","2026-07-17","API Tests - ReqRes","api.spec.ts","",""
"","938","has title","Chromium","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","805","User can login successfully","Chromium","2026-07-17","passed","2026-07-17","Login Feature","login.spec.ts","",""
"","347","Validate GET users API","Chromium","2026-07-17","passed","2026-07-17","API Tests - ReqRes","api.spec.ts","",""
"","1306","User can login successfully","Firefox","2026-07-17","passed","2026-07-17","Login Feature","login.spec.ts","",""
"","8605","has title","WebKit","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1716","User can login successfully","WebKit","2026-07-17","passed","2026-07-17","Login Feature","login.spec.ts","",""
"","9745","get started link","WebKit","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","2023","has title","Firefox","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1026","get started link","Chromium","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","2863","get started link","Firefox","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
