"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2006","User can login successfully","WebKit","2026-09-23","passed","2026-09-23","Login Feature","login.spec.ts","",""
"","997","has title","Chromium","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
"","952","User can login successfully","Firefox","2026-09-23","passed","2026-09-23","Login Feature","login.spec.ts","",""
"","2681","get started link","Firefox","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
"","277","Validate GET users API","Chromium","2026-09-23","passed","2026-09-23","API Tests - ReqRes","api.spec.ts","",""
"","123","Validate GET users API","Firefox","2026-09-23","passed","2026-09-23","API Tests - ReqRes","api.spec.ts","",""
"","743","User can login successfully","Chromium","2026-09-23","passed","2026-09-23","Login Feature","login.spec.ts","",""
"","93","Validate GET users API","WebKit","2026-09-23","passed","2026-09-23","API Tests - ReqRes","api.spec.ts","",""
"","7864","get started link","WebKit","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
"","6640","has title","WebKit","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
"","2338","has title","Firefox","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
"","1090","get started link","Chromium","2026-09-23","passed","2026-09-23","","example.spec.ts","",""
