"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2802","get started link","Firefox","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
"","97","Validate GET users API","Firefox","2026-08-01","passed","2026-08-01","API Tests - ReqRes","api.spec.ts","",""
"","777","User can login successfully","Chromium","2026-08-01","passed","2026-08-01","Login Feature","login.spec.ts","",""
"","277","Validate GET users API","Chromium","2026-08-01","passed","2026-08-01","API Tests - ReqRes","api.spec.ts","",""
"","1791","User can login successfully","WebKit","2026-08-01","passed","2026-08-01","Login Feature","login.spec.ts","",""
"","7534","get started link","WebKit","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
"","89","Validate GET users API","WebKit","2026-08-01","passed","2026-08-01","API Tests - ReqRes","api.spec.ts","",""
"","6352","has title","WebKit","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
"","2573","has title","Firefox","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
"","966","has title","Chromium","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
"","1044","User can login successfully","Firefox","2026-08-01","passed","2026-08-01","Login Feature","login.spec.ts","",""
"","1183","get started link","Chromium","2026-08-01","passed","2026-08-01","","example.spec.ts","",""
