"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","503","Validate GET users API","Chromium","2026-07-05","passed","2026-07-05","API Tests - ReqRes","api.spec.ts","",""
"","4607","get started link","WebKit","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
"","3173","get started link","Firefox","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
"","1050","User can login successfully","Chromium","2026-07-05","passed","2026-07-05","Login Feature","login.spec.ts","",""
"","114","Validate GET users API","WebKit","2026-07-05","passed","2026-07-05","API Tests - ReqRes","api.spec.ts","",""
"","1899","User can login successfully","WebKit","2026-07-05","passed","2026-07-05","Login Feature","login.spec.ts","",""
"","1233","User can login successfully","Firefox","2026-07-05","passed","2026-07-05","Login Feature","login.spec.ts","",""
"","2912","has title","WebKit","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
"","129","Validate GET users API","Firefox","2026-07-05","passed","2026-07-05","API Tests - ReqRes","api.spec.ts","",""
"","1079","get started link","Chromium","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
"","924","has title","Chromium","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
"","2444","has title","Firefox","2026-07-05","passed","2026-07-05","","example.spec.ts","",""
