"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","896","has title","Chromium","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","1125","User can login successfully","Firefox","2026-06-26","passed","2026-06-26","Login Feature","login.spec.ts","",""
"","10034","has title","WebKit","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","977","get started link","Chromium","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","299","Validate GET users API","Chromium","2026-06-26","passed","2026-06-26","API Tests - ReqRes","api.spec.ts","",""
"","10746","get started link","WebKit","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","87","Validate GET users API","Firefox","2026-06-26","passed","2026-06-26","API Tests - ReqRes","api.spec.ts","",""
"","713","User can login successfully","Chromium","2026-06-26","passed","2026-06-26","Login Feature","login.spec.ts","",""
"","3376","get started link","Firefox","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","2158","has title","Firefox","2026-06-26","passed","2026-06-26","","example.spec.ts","",""
"","84","Validate GET users API","WebKit","2026-06-26","passed","2026-06-26","API Tests - ReqRes","api.spec.ts","",""
"","1482","User can login successfully","WebKit","2026-06-26","passed","2026-06-26","Login Feature","login.spec.ts","",""
