"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","773","has title","Chromium","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","954","get started link","Chromium","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","2536","get started link","Firefox","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","782","User can login successfully","Chromium","2026-06-14","passed","2026-06-14","Login Feature","login.spec.ts","",""
"","5224","get started link","WebKit","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","1524","User can login successfully","WebKit","2026-06-14","passed","2026-06-14","Login Feature","login.spec.ts","",""
"","329","Validate GET users API","Chromium","2026-06-14","passed","2026-06-14","API Tests - ReqRes","api.spec.ts","",""
"","937","User can login successfully","Firefox","2026-06-14","passed","2026-06-14","Login Feature","login.spec.ts","",""
"","2088","has title","Firefox","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","84","Validate GET users API","WebKit","2026-06-14","passed","2026-06-14","API Tests - ReqRes","api.spec.ts","",""
"","4112","has title","WebKit","2026-06-14","passed","2026-06-14","","example.spec.ts","",""
"","79","Validate GET users API","Firefox","2026-06-14","passed","2026-06-14","API Tests - ReqRes","api.spec.ts","",""
