"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2073","get started link","Firefox","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
"","108","Validate GET users API","WebKit","2026-08-31","passed","2026-08-31","API Tests - ReqRes","api.spec.ts","",""
"","6300","get started link","Chromium","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
"","288","Validate GET users API","Chromium","2026-08-31","passed","2026-08-31","API Tests - ReqRes","api.spec.ts","",""
"","6280","has title","Chromium","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
"","699","User can login successfully","Chromium","2026-08-31","passed","2026-08-31","Login Feature","login.spec.ts","",""
"","1414","User can login successfully","WebKit","2026-08-31","passed","2026-08-31","Login Feature","login.spec.ts","",""
"","9285","has title","WebKit","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
"","10435","get started link","WebKit","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
"","109","Validate GET users API","Firefox","2026-08-31","passed","2026-08-31","API Tests - ReqRes","api.spec.ts","",""
"","1043","User can login successfully","Firefox","2026-08-31","passed","2026-08-31","Login Feature","login.spec.ts","",""
"","2238","has title","Firefox","2026-08-31","passed","2026-08-31","","example.spec.ts","",""
