"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","703","User can login successfully","Chromium","2026-09-06","passed","2026-09-06","Login Feature","login.spec.ts","",""
"","1107","get started link","Chromium","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
"","7982","get started link","WebKit","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
"","199","Validate GET users API","Chromium","2026-09-06","passed","2026-09-06","API Tests - ReqRes","api.spec.ts","",""
"","978","User can login successfully","Firefox","2026-09-06","passed","2026-09-06","Login Feature","login.spec.ts","",""
"","1134","has title","Chromium","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
"","1816","User can login successfully","WebKit","2026-09-06","passed","2026-09-06","Login Feature","login.spec.ts","",""
"","2768","get started link","Firefox","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
"","94","Validate GET users API","Firefox","2026-09-06","passed","2026-09-06","API Tests - ReqRes","api.spec.ts","",""
"","87","Validate GET users API","WebKit","2026-09-06","passed","2026-09-06","API Tests - ReqRes","api.spec.ts","",""
"","6435","has title","WebKit","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
"","2180","has title","Firefox","2026-09-06","passed","2026-09-06","","example.spec.ts","",""
