"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1072","get started link","Chromium","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","7746","get started link","WebKit","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","2344","has title","Firefox","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","987","User can login successfully","Firefox","2026-07-20","passed","2026-07-20","Login Feature","login.spec.ts","",""
"","960","has title","Chromium","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","343","Validate GET users API","Chromium","2026-07-20","passed","2026-07-20","API Tests - ReqRes","api.spec.ts","",""
"","2886","get started link","Firefox","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","95","Validate GET users API","WebKit","2026-07-20","passed","2026-07-20","API Tests - ReqRes","api.spec.ts","",""
"","6501","has title","WebKit","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","849","User can login successfully","Chromium","2026-07-20","passed","2026-07-20","Login Feature","login.spec.ts","",""
"","1669","User can login successfully","WebKit","2026-07-20","passed","2026-07-20","Login Feature","login.spec.ts","",""
"","116","Validate GET users API","Firefox","2026-07-20","passed","2026-07-20","API Tests - ReqRes","api.spec.ts","",""
