"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","673","User can login successfully","Chromium","2026-09-02","passed","2026-09-02","Login Feature","login.spec.ts","",""
"","2190","User can login successfully","WebKit","2026-09-02","passed","2026-09-02","Login Feature","login.spec.ts","",""
"","2096","get started link","Firefox","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
"","803","get started link","Chromium","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
"","1789","has title","Firefox","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
"","80","Validate GET users API","WebKit","2026-09-02","passed","2026-09-02","API Tests - ReqRes","api.spec.ts","",""
"","67","Validate GET users API","Firefox","2026-09-02","passed","2026-09-02","API Tests - ReqRes","api.spec.ts","",""
"","286","Validate GET users API","Chromium","2026-09-02","passed","2026-09-02","API Tests - ReqRes","api.spec.ts","",""
"","809","User can login successfully","Firefox","2026-09-02","passed","2026-09-02","Login Feature","login.spec.ts","",""
"","771","has title","Chromium","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
"","12139","get started link","WebKit","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
"","9643","has title","WebKit","2026-09-02","passed","2026-09-02","","example.spec.ts","",""
