"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","739","has title","Chromium","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","301","Validate GET users API","WebKit","2026-09-08","passed","2026-09-08","API Tests - ReqRes","api.spec.ts","",""
"","884","User can login successfully","Firefox","2026-09-08","passed","2026-09-08","Login Feature","login.spec.ts","",""
"","90","Validate GET users API","Firefox","2026-09-08","passed","2026-09-08","API Tests - ReqRes","api.spec.ts","",""
"","3628","get started link","WebKit","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","679","User can login successfully","Chromium","2026-09-08","passed","2026-09-08","Login Feature","login.spec.ts","",""
"","883","get started link","Chromium","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","1344","has title","WebKit","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","2180","get started link","Firefox","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","1403","User can login successfully","WebKit","2026-09-08","passed","2026-09-08","Login Feature","login.spec.ts","",""
"","1690","has title","Firefox","2026-09-08","passed","2026-09-08","","example.spec.ts","",""
"","354","Validate GET users API","Chromium","2026-09-08","passed","2026-09-08","API Tests - ReqRes","api.spec.ts","",""
