"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1098","has title","Chromium","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","399","Validate GET users API","Chromium","2026-08-16","passed","2026-08-16","API Tests - ReqRes","api.spec.ts","",""
"","1025","User can login successfully","Firefox","2026-08-16","passed","2026-08-16","Login Feature","login.spec.ts","",""
"","2744","has title","Firefox","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","728","User can login successfully","Chromium","2026-08-16","passed","2026-08-16","Login Feature","login.spec.ts","",""
"","1339","get started link","Chromium","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","7273","has title","WebKit","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","8701","get started link","WebKit","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","2720","get started link","Firefox","2026-08-16","passed","2026-08-16","","example.spec.ts","",""
"","91","Validate GET users API","Firefox","2026-08-16","passed","2026-08-16","API Tests - ReqRes","api.spec.ts","",""
"","90","Validate GET users API","WebKit","2026-08-16","passed","2026-08-16","API Tests - ReqRes","api.spec.ts","",""
"","1800","User can login successfully","WebKit","2026-08-16","passed","2026-08-16","Login Feature","login.spec.ts","",""
