"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","96","Validate GET users API","Firefox","2026-08-04","passed","2026-08-04","API Tests - ReqRes","api.spec.ts","",""
"","1102","get started link","Chromium","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","972","User can login successfully","Firefox","2026-08-04","passed","2026-08-04","Login Feature","login.spec.ts","",""
"","91","Validate GET users API","WebKit","2026-08-04","passed","2026-08-04","API Tests - ReqRes","api.spec.ts","",""
"","284","Validate GET users API","Chromium","2026-08-04","passed","2026-08-04","API Tests - ReqRes","api.spec.ts","",""
"","8585","get started link","WebKit","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","7069","has title","WebKit","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","674","User can login successfully","Chromium","2026-08-04","passed","2026-08-04","Login Feature","login.spec.ts","",""
"","2476","has title","Firefox","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","1819","User can login successfully","WebKit","2026-08-04","passed","2026-08-04","Login Feature","login.spec.ts","",""
"","2912","get started link","Firefox","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
"","1032","has title","Chromium","2026-08-04","passed","2026-08-04","","example.spec.ts","",""
