"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","277","Validate GET users API","Chromium","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","2333","has title","Firefox","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","113","Validate GET users API","Firefox","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","1038","has title","Chromium","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","7624","get started link","WebKit","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","1624","User can login successfully","WebKit","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","98","Validate GET users API","WebKit","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","1113","get started link","Chromium","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","2734","get started link","Firefox","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","687","User can login successfully","Chromium","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","926","User can login successfully","Firefox","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","6417","has title","WebKit","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
